De,A,Tiempo
7,1,0.415473
7,2,0.361253
7,3,0.361231
7,4,0.357756
7,5,0.358021
7,6,0.113425
0,1,0.455731
0,2,0.437024
0,3,0.445513
0,4,0.415806
0,5,0.440865
0,6,0.411492
0,7,0.418731
1,0,0.341544
1,2,0.457206
1,3,0.380813
1,4,0.417882
1,5,0.441049
1,6,0.407152
1,7,0.430365
2,0,0.631268
2,1,0.423014
2,3,0.102784
2,4,0.363438
2,5,0.356689
2,6,0.356841
2,7,0.355773
3,0,0.490444
3,1,0.389014
3,2,0.111481
3,4,0.359576
3,5,0.356268
3,6,0.355904
3,7,0.355835
4,0,0.427950
4,1,0.404814
4,2,0.361382
4,3,0.360216
4,5,0.096548
4,6,0.359384
4,7,0.359357
5,0,0.449586
5,1,0.407657
5,2,0.360577
5,3,0.361347
5,4,0.082379
5,6,0.358645
5,7,0.363532
6,0,0.457261
6,1,0.429458
6,2,0.360287
6,3,0.361139
6,4,0.363464
6,5,0.362144
6,7,0.103886
7,0,0.442024
7,1,0.438998
7,2,0.360528
7,3,0.361120
7,4,0.358258
7,5,0.359321
7,6,0.113431
0,1,0.157024
0,2,0.427552
0,3,0.425425
0,4,0.410784
0,5,0.427019
0,6,0.414131
0,7,0.390865
1,0,0.102125
1,2,0.410739
1,3,0.383476
1,4,0.411592
1,5,0.423726
1,6,0.401687
1,7,0.414104
2,0,0.425656
2,1,0.397695
2,3,0.103779
2,4,0.354640
2,5,0.356685
2,6,0.356812
2,7,0.355770
3,0,0.419471
3,1,0.385251
3,2,0.111431
3,4,0.356355
3,5,0.356448
3,6,0.356000
3,7,0.355848
4,0,0.416668
4,1,0.404893
4,2,0.361296
4,3,0.362311
4,5,0.093635
4,6,0.385223
4,7,0.360578
5,0,0.409830
5,1,0.431892
5,2,0.360109
5,3,0.361638
5,4,0.082148
5,6,0.359493
5,7,0.361051
6,0,0.408767
6,1,0.420465
6,2,0.360294
6,3,0.361146
6,4,0.358345
6,5,0.356813
6,7,0.104746
7,0,0.390236
7,1,0.431202
7,2,0.361306
7,3,0.360122
7,4,0.356718
7,5,0.358307
7,6,0.112365
0,1,0.158148
0,2,0.426185
0,3,0.406182
0,4,0.398482
0,5,0.405692
0,6,0.398761
0,7,0.398887
1,0,0.142736
1,2,0.409350
1,3,0.381099
1,4,0.431943
1,5,0.424567
1,6,0.391313
1,7,0.426306
2,0,0.431566
2,1,0.399241
2,3,0.102867
2,4,0.358029
2,5,0.357230
2,6,0.356804
2,7,0.355791
3,0,0.400682
3,1,0.395216
3,2,0.111398
3,4,0.357939
3,5,0.356348
3,6,0.354963
3,7,0.356814
4,0,0.401328
4,1,0.409402
4,2,0.360519
4,3,0.361204
4,5,0.094426
4,6,0.361735
4,7,0.359497
5,0,0.413576
5,1,0.402290
5,2,0.361304
5,3,0.361135
5,4,0.079776
5,6,0.359356
5,7,0.358673
6,0,0.465544
6,1,0.411778
6,2,0.361221
6,3,0.360191
6,4,0.356606
6,5,0.360227
6,7,0.103857
7,0,0.584132
7,1,0.454693
7,2,0.361219
7,3,0.361190
7,4,0.357724
7,5,0.358402
7,6,0.113496
0,1,0.428401
0,2,0.455635
0,3,0.422890
0,4,0.408525
0,5,0.445371
0,6,0.457038
0,7,0.417919
1,0,0.311417
1,2,0.419646
1,3,0.395056
1,4,0.407000
1,5,0.420780
1,6,0.419811
1,7,0.434556
2,0,0.718254
2,1,0.429565
2,3,0.103785
2,4,0.356441
2,5,0.356084
2,6,0.356898
2,7,0.355816
3,0,0.550440
3,1,0.419056
3,2,0.112366
3,4,0.354707
3,5,0.356260
3,6,0.356859
3,7,0.355819
4,0,0.480176
4,1,0.447544
4,2,0.361901
4,3,0.361738
4,5,0.126048
4,6,0.360036
4,7,0.358524
5,0,0.643252
5,1,0.435531
5,2,0.363853
5,3,0.361161
5,4,0.111941
5,6,0.359384
5,7,0.359136
6,0,0.675826
6,1,0.442167
6,2,0.361259
6,3,0.360214
6,4,0.359809
6,5,0.358744
6,7,0.103846
7,0,0.594424
7,1,0.425869
7,2,0.361317
7,3,0.360232
7,4,0.408674
7,5,0.366572
7,6,0.112440
