De,A,Tiempo
0,1,0.400307
0,2,0.679626
0,3,0.680059
0,4,0.758352
0,5,0.448975
0,6,0.499285
0,7,0.447964
1,0,0.255117
1,2,0.621785
1,3,0.463955
1,4,0.452354
1,5,0.410882
1,6,0.417790
1,7,0.466558
2,0,0.504457
2,1,0.432966
2,3,0.150795
2,4,0.359219
2,5,0.378888
2,6,0.361614
2,7,0.356004
3,0,0.450563
3,1,0.467083
3,2,0.138151
3,4,0.368983
3,5,0.365595
3,6,0.357065
3,7,0.356041
4,0,0.451174
4,1,0.442995
4,2,0.370231
4,3,0.363184
4,5,0.112542
4,6,0.361175
4,7,0.358809
5,0,0.444610
5,1,0.464747
5,2,0.362558
5,3,0.361044
5,4,0.083410
5,6,0.361244
5,7,0.358669
6,0,0.480476
6,1,0.418985
6,2,0.362244
6,3,0.360016
6,4,0.357144
6,5,0.358864
6,7,0.202868
7,0,0.411147
7,1,0.434110
7,2,0.361125
7,3,0.359889
7,4,0.361338
7,5,0.358180
7,6,0.112475
0,1,0.122928
0,2,0.425886
0,3,0.400482
0,4,0.416086
0,5,0.412338
0,6,0.410075
0,7,0.397282
1,0,0.185498
1,2,0.428636
1,3,0.406374
1,4,0.426753
1,5,0.664665
1,6,0.563122
1,7,0.475948
2,0,0.470595
2,1,0.457965
2,3,0.103727
2,4,0.357656
2,5,0.360629
2,6,0.356904
2,7,0.355781
3,0,0.422150
3,1,0.390028
3,2,0.111485
3,4,0.365228
3,5,0.356329
3,6,0.356391
3,7,0.355843
4,0,0.415080
4,1,0.443760
4,2,0.363497
4,3,0.361913
4,5,0.078555
4,6,0.359321
4,7,0.360818
5,0,0.457258
5,1,0.472940
5,2,0.361446
5,3,0.359852
5,4,0.109215
5,6,0.357993
5,7,0.359286
6,0,0.403507
6,1,0.451670
6,2,0.367089
6,3,0.360318
6,4,0.362945
6,5,0.358548
6,7,0.103976
7,0,0.410488
7,1,0.482423
7,2,0.360279
7,3,0.361107
7,4,0.358233
7,5,0.357718
7,6,0.112345
0,1,0.195375
0,2,0.420157
0,3,0.400360
0,4,0.428214
0,5,0.406647
0,6,0.393531
0,7,0.388428
1,0,0.150302
1,2,0.415617
1,3,0.378058
1,4,0.413826
1,5,0.396776
1,6,0.395022
1,7,0.430728
2,0,0.425722
2,1,0.409596
2,3,0.133600
2,4,0.356701
2,5,0.354529
2,6,0.355890
2,7,0.356686
3,0,0.399964
3,1,0.395629
3,2,0.112276
3,4,0.354495
3,5,0.356018
3,6,0.357220
3,7,0.355883
4,0,0.410100
4,1,0.418088
4,2,0.361473
4,3,0.361376
4,5,0.078968
4,6,0.359298
4,7,0.357726
5,0,0.482319
5,1,0.433446
5,2,0.361830
5,3,0.359937
5,4,0.099652
5,6,0.359578
5,7,0.359206
6,0,0.455572
6,1,0.396180
6,2,0.361255
6,3,0.360205
6,4,0.359432
6,5,0.362693
6,7,0.134481
7,0,0.400265
7,1,0.428113
7,2,0.360304
7,3,0.360200
7,4,0.358160
7,5,0.361372
7,6,0.139340
0,1,0.127813
0,2,0.421089
0,3,0.414680
0,4,0.395951
0,5,0.417430
0,6,0.392604
0,7,0.384463
1,0,0.122552
1,2,0.424251
1,3,0.378735
1,4,0.411202
1,5,0.399576
1,6,0.419563
1,7,0.414754
2,0,0.481544
2,1,0.416709
2,3,0.102841
2,4,0.359345
2,5,0.372382
2,6,0.355889
2,7,0.356767
3,0,0.430538
3,1,0.408528
3,2,0.111285
3,4,0.356534
3,5,0.354731
3,6,0.356933
3,7,0.356870
4,0,0.512362
4,1,0.430672
4,2,0.359819
4,3,0.361656
4,5,0.079434
4,6,0.359379
4,7,0.359354
5,0,0.458738
5,1,0.418424
5,2,0.361771
5,3,0.362924
5,4,0.079872
5,6,0.359319
5,7,0.358863
6,0,0.422276
6,1,0.395973
6,2,0.361187
6,3,0.360276
6,4,0.356844
6,5,0.358172
6,7,0.151863
7,0,0.408695
7,1,0.413716
7,2,0.361242
7,3,0.360119
7,4,0.357502
7,5,0.358502
7,6,0.155726
0,1,0.184427
0,2,0.428107
0,3,0.406089
0,4,0.414842
0,5,0.431260
0,6,0.402210
0,7,0.391191
1,0,0.145551
1,2,0.407155
1,3,0.380776
1,4,0.423409
1,5,0.419229
1,6,0.402536
1,7,0.414661
2,0,0.423256
2,1,0.397595
2,3,0.102840
2,4,0.359491
2,5,0.373605
2,6,0.356872
2,7,0.355788
3,0,0.488087
3,1,0.441170
3,2,0.111437
3,4,0.358641
3,5,0.355915
3,6,0.356946
3,7,0.354901
4,0,0.650812
4,1,0.456847
4,2,0.360864
4,3,0.361176
4,5,0.082973
4,6,0.362547
4,7,0.367655
5,0,0.660157
5,1,0.501041
5,2,0.361955
5,3,0.359723
5,4,0.091071
5,6,0.358979
5,7,0.359654
6,0,0.737901
6,1,0.422925
6,2,0.361213
6,3,0.363824
6,4,0.357525
6,5,0.357298
6,7,0.135317
7,0,0.659571
7,1,0.421955
7,2,0.359299
7,3,0.361243
7,4,0.358412
7,5,0.357557
7,6,0.112408
0,1,0.556980
0,2,0.452254
0,3,0.461690
0,4,0.500430
0,5,0.506698
0,6,0.437658
0,7,0.431321
1,0,0.318090
1,2,0.409067
1,3,0.392409
1,4,0.433218
1,5,0.438655
1,6,0.406115
1,7,0.422852
2,0,0.651003
2,1,0.425947
2,3,0.102787
2,4,0.357443
2,5,0.357266
2,6,0.355916
2,7,0.355781
3,0,0.845758
3,1,0.414004
3,2,0.111391
3,4,0.355996
3,5,0.356918
3,6,0.355973
3,7,0.356832
4,0,0.635099
4,1,0.451408
4,2,0.361516
4,3,0.360488
4,5,0.080053
4,6,0.359642
4,7,0.359860
5,0,0.631280
5,1,0.447993
5,2,0.363768
5,3,0.373425
5,4,0.098198
5,6,0.360095
5,7,0.357553
6,0,0.618646
6,1,0.390819
6,2,0.360275
6,3,0.361131
6,4,0.357582
6,5,0.357287
6,7,0.104914
7,0,0.506274
