Hilos,Schedule,Chunk,Limite,Primes,Tiempo
1,Static,1000,10000000,664579,4.255582
1,Dynamic,1000,10000000,664579,4.282603
1,Static,10000,10000000,664579,4.272362
1,Dynamic,10000,10000000,664579,4.279655
1,Static,100000,10000000,664579,4.258197
1,Dynamic,100000,10000000,664579,4.260500
1,Static,1000000,10000000,664579,4.244111
1,Dynamic,1000000,10000000,664579,4.285046
1,Static,10000000,10000000,664579,4.295982
1,Dynamic,10000000,10000000,664579,4.260519
2,Static,100,10000000,664579,2.141463
2,Dynamic,100,10000000,664579,2.147014
2,Static,1000,10000000,664579,2.162892
2,Dynamic,1000,10000000,664579,2.168333
2,Static,10000,10000000,664579,2.156234
2,Dynamic,10000,10000000,664579,2.158639
2,Static,100000,10000000,664579,2.161036
2,Dynamic,100000,10000000,664579,2.164269
2,Static,1000000,10000000,664579,2.266147
2,Dynamic,1000000,10000000,664579,2.279423
2,Static,10000000,10000000,664579,4.247798
2,Dynamic,10000000,10000000,664579,4.304322
3,Static,100,10000000,664579,1.460714
3,Dynamic,100,10000000,664579,1.455288
3,Static,1000,10000000,664579,1.453195
3,Dynamic,1000,10000000,664579,1.451458
3,Static,10000,10000000,664579,1.467600
3,Dynamic,10000,10000000,664579,1.448917
3,Static,100000,10000000,664579,1.461873
3,Dynamic,100000,10000000,664579,1.466568
3,Static,1000000,10000000,664579,1.685084
3,Dynamic,1000000,10000000,664579,1.669451
3,Static,10000000,10000000,664579,4.258737
3,Dynamic,10000000,10000000,664579,4.276345
4,Static,100,10000000,664579,1.087970
4,Dynamic,100,10000000,664579,1.086989
4,Static,1000,10000000,664579,1.086598
4,Dynamic,1000,10000000,664579,1.086045
4,Static,10000,10000000,664579,1.109836
4,Dynamic,10000,10000000,664579,1.088367
4,Static,100000,10000000,664579,1.100746
4,Dynamic,100000,10000000,664579,1.112190
4,Static,1000000,10000000,664579,1.357076
4,Dynamic,1000000,10000000,664579,1.355290
4,Static,10000000,10000000,664579,4.279827
4,Dynamic,10000000,10000000,664579,4.252449
5,Static,100,10000000,664579,0.871946
5,Dynamic,100,10000000,664579,0.888807
5,Static,1000,10000000,664579,0.870907
5,Dynamic,1000,10000000,664579,0.871552
5,Static,10000,10000000,664579,0.876404
5,Dynamic,10000,10000000,664579,0.873065
5,Static,100000,10000000,664579,0.888509
5,Dynamic,100000,10000000,664579,0.895089
5,Static,1000000,10000000,664579,1.056932
5,Dynamic,1000000,10000000,664579,1.042481
