NumThreads,Estrategia,Tiempo
1,Ordered,0.008340
1,Reduction,0.005529
1,Critical,0.011406
1,Ordered,0.008354
1,Reduction,0.005522
1,Critical,0.010657
1,Ordered,0.008301
1,Reduction,0.005464
1,Critical,0.011809
1,Ordered,0.008387
1,Reduction,0.005501
1,Critical,0.010852
1,Ordered,0.008340
1,Reduction,0.005479
1,Critical,0.010811
1,Ordered,0.008481
1,Reduction,0.005502
1,Critical,0.010802
1,Ordered,0.008295
1,Reduction,0.005540
1,Critical,0.010648
1,Ordered,0.008629
1,Reduction,0.005598
1,Critical,0.010704
1,Ordered,0.008336
1,Reduction,0.005494
1,Critical,0.010943
1,Ordered,0.008815
2,Reduction,0.002855
2,Critical,0.036686
2,Ordered,0.008471
2,Reduction,0.003109
2,Critical,0.035432
2,Ordered,0.008525
2,Reduction,0.002773
2,Critical,0.035040
2,Ordered,0.008454
2,Reduction,0.002809
2,Critical,0.036828
2,Ordered,0.008646
2,Reduction,0.002751
2,Critical,0.034967
2,Ordered,0.008488
2,Reduction,0.002741
2,Critical,0.037192
2,Ordered,0.008813
2,Reduction,0.002755
2,Critical,0.036449
2,Ordered,0.008808
2,Reduction,0.002840
2,Critical,0.038710
2,Ordered,0.009000
2,Reduction,0.002832
2,Critical,0.036901
2,Ordered,0.008486
2,Reduction,0.003305
2,Critical,0.039297
2,Ordered,0.009007
2,Reduction,0.002857
2,Critical,0.035740
2,Ordered,0.008529
2,Reduction,0.002977
2,Critical,0.047975
2,Ordered,0.008997
2,Reduction,0.002871
2,Critical,0.034885
2,Ordered,0.008916
2,Reduction,0.002754
2,Critical,0.037082
2,Ordered,0.008529
2,Reduction,0.002751
2,Critical,0.039649
2,Ordered,0.008527
2,Reduction,0.002747
2,Critical,0.037102
2,Ordered,0.008995
2,Reduction,0.002832
2,Critical,0.038998
2,Ordered,0.008510
2,Reduction,0.002751
2,Critical,0.042167
2,Ordered,0.008694
2,Reduction,0.002826
2,Critical,0.035244
2,Ordered,0.008670
2,Reduction,0.002751
2,Critical,0.038076
2,Ordered,0.008674
2,Reduction,0.002752
2,Critical,0.034812
2,Ordered,0.008447
2,Reduction,0.003092
2,Critical,0.040055
2,Ordered,0.008714
2,Reduction,0.002803
2,Critical,0.041315
2,Ordered,0.008670
2,Reduction,0.002816
2,Critical,0.036122
2,Ordered,0.008694
2,Reduction,0.002822
2,Critical,0.035946
2,Ordered,0.008545
2,Reduction,0.003305
2,Critical,0.038136
2,Ordered,0.008479
2,Reduction,0.002820
2,Critical,0.035758
2,Ordered,0.008505
2,Reduction,0.002751
2,Critical,0.036324
2,Ordered,0.008556
2,Reduction,0.002788
2,Critical,0.036495
2,Ordered,0.008482
2,Reduction,0.002872
2,Critical,0.034705
2,Ordered,0.008791
2,Reduction,0.002753
2,Critical,0.039349
2,Ordered,0.008737
2,Reduction,0.002750
2,Critical,0.038257
2,Ordered,0.008627
2,Reduction,0.002869
2,Critical,0.038625
2,Ordered,0.008730
2,Reduction,0.002750
2,Critical,0.039380
2,Ordered,0.009161
2,Reduction,0.002786
2,Critical,0.036024
2,Ordered,0.008717
2,Reduction,0.002883
2,Critical,0.038031
2,Ordered,0.008792
2,Reduction,0.002832
2,Critical,0.039425
2,Ordered,0.008712
2,Reduction,0.002765
2,Critical,0.036062
2,Ordered,0.008653
2,Reduction,0.002807
2,Critical,0.036047
2,Ordered,0.008517
2,Reduction,0.003345
2,Critical,0.034811
2,Ordered,0.008478
2,Reduction,0.002751
2,Critical,0.036877
2,Ordered,0.008526
2,Reduction,0.002795
2,Critical,0.038379
2,Ordered,0.008431
2,Reduction,0.002792
2,Critical,0.042311
2,Ordered,0.008593
2,Reduction,0.003002
2,Critical,0.037321
2,Ordered,0.008591
2,Reduction,0.002752
2,Critical,0.040590
2,Ordered,0.008535
2,Reduction,0.002848
2,Critical,0.041425
2,Ordered,0.009249
2,Reduction,0.003171
2,Critical,0.038539
2,Ordered,0.008808
2,Reduction,0.002871
2,Critical,0.042729
2,Ordered,0.009735
2,Reduction,0.003301
2,Critical,0.037562
2,Ordered,0.008768
2,Reduction,0.002819
2,Critical,0.036174
2,Ordered,0.008920
2,Reduction,0.002832
2,Critical,0.045330
2,Ordered,0.008779
2,Reduction,0.002857
2,Critical,0.037510
2,Ordered,0.008701
2,Reduction,0.002823
2,Critical,0.036335
2,Ordered,0.008699
2,Reduction,0.002812
